Year,Historical price of memory,Historical price of flash memory,Historical price of disk drives,Historical price of solid-state drives
1956,,,87592750000,
1957,3.78697E+15,,,
1959,6.03281E+14,,67477360000,
1960,4.58805E+13,,31503645000,
1964,,,29360284000,
1965,2.17049E+13,,,
1966,,,8350479000,
1970,4.89294E+12,,1731185200,
1973,2.3279E+12,,1513812400,
1974,1.65114E+12,,971034000,
1975,2.40072E+11,,889688500,
1976,1.04783E+11,,,
1977,98385980000,,,
1978,60305523000,,,
1979,23907269000,,659732200,
1980,20351056000,,581010050,
1981,12749707000,,526588640,
1982,5310322700,,496166530,
1983,5145041400,,311560860,
1984,3315175000,,93426150,
1985,720613060,,75532904,
1986,447454300,,43564812,
1987,302942900,,34090570,
1988,291073660,,21812290,
1989,236176510,,15623316,
1990,90127496,,6475771,
1991,75538730,,5305764,
1992,48417580,,2581349,
1993,47029436,,1285968.9,
1994,45834332,,756436.25,
1995,44583576,,363201,
1996,8662792,,210547.08,
1997,3476658.2,,78017.58,
1998,1339636.6,,39444.86,
1999,1213723.6,,13730.564,
2000,1045032.9,,6119.577,
2001,215708.97,,3785.6985,
2002,192163.72,,1750.5924,
2003,107166.31,269289.7,1055.0634,
2004,104372.016,262268.12,834.98285,
2005,100947.14,100921.24,538.3847,
2006,93398.016,18793.69,280.8012,
2007,30443.912,9139.2705,249.62117,
2008,11736.141,2200.7112,120.196144,
2009,11778.016,1950.4845,84.4339,
2010,11587.969,1412.2747,53.410732,
2011,5897.578,1158.3726,42.180378,
2012,4126.761,653.2789,41.32522,
2013,4067.1836,508.39658,40.72861,694.31946
2014,4002.2583,366.16135,38.26366,409.94592
2015,3997.5159,158.12556,30.935,272.9443
2016,2961.1106,156.15555,29.870235,219.02322
2017,2899.351,152.89864,26.396421,214.45508
2018,2830.2207,,24.087029,107.34549
2019,2779.844,,18.981298,80.13651
2020,2745.97,,16.25,74.99
2021,2477.3096,,15.520852,71.62515
2022,1861.9323,,12.63745,39.796032
2023,1088.4369,,10.617405,25.906467
